ItemId,DEL_PRODUCT,StructureId,APDivision,APLabel,APMerchDivision,APClass,APSubClass,ProductCategoryCode,ProductCategoryDesc,ProductClassCode,ProductClassDesc,ProductSubclassCode,ProductSubclassDesc,MerchDivisionCode,MerchDivisionDesc,ColorFamily,USBoardNumber,MerchOrganizationDesc,MSSP,FactoryCost,APSeasonYear,APSeason,APYear,APItemDescription,RetailTypeId,EventId,USSizeOffering
CWPOTSHB8020505,0,CW,CW,PO,B,TSH,80,KN,KNIT SHIRTS,TSH,T-SHIRT,LSL,LONG SLEEVE,322,CB PRL APP BOYS 2-7,WHITE,32286677,CHILDRENS APPAREL,NULL,5.9,FAL2022,FAL,2022,O LS BEAR TEE - FALL BEAR,SINGLE PRICE,OUTLET,04-Jul
CWPOTSHT8020504,0,CW,CW,PO,T,TSH,80,KN,KNIT SHIRTS,TSH,T-SHIRT,LSL,LONG SLEEVE,321,CB PRL APP TODD BOYS,WHITE,32186677,CHILDRENS APPAREL,NULL,5.9,FAL2022,FAL,2022,O LS BEAR TEE - FALL BEAR,SINGLE PRICE,OUTLET,2T-4T
CWPOTSHY8020504,0,CW,CW,PO,Y,TSH,80,KN,KNIT SHIRTS,TSH,T-SHIRT,LSL,LONG SLEEVE,323,CB PRL APP BOYS 8-20,WHITE,32386677,CHILDRENS APPAREL,NULL,6.9,FAL2022,FAL,2022,O LS BEAR TEE - FALL BEAR,SINGLE PRICE,OUTLET,S-XL
HMRLBEDHR222482,0,HM,HM,RL,H,BED,R2,BD,BEDDING,CSB,CLASSIFICATION BDDNG,STO,SHEET - OPEN STOCK,602,RL LIC HME,PINK,60290715,HOME,NULL,0,SPR2022,SPR,2022,O JPN TW/S FTD CRS BDY BEAR281561,SINGLE JAPAN,OUTLET,TW FITTED
MAPOPTW09120080,0,MA,MA,PO,0,PTW,91,PT,PERSONAL TOWEL,HDC,HANDKERCHIEF,N/A,NO SUBCLASS,449,M PRL LIC ACC,BLACK,44990722,ACCESSORIES,NULL,0,FAL2022,FAL,2022,YD POLKA DOT-HANDKERCHIEF COTTON,SINGLE PRICE,PSR,ONE SIZE
MAPOPTW09120081,0,MA,MA,PO,0,PTW,91,PT,PERSONAL TOWEL,HDC,HANDKERCHIEF,N/A,NO SUBCLASS,449,M PRL LIC ACC,NAVY-410,44990722,ACCESSORIES,NULL,0,FAL2022,FAL,2022,YD PLD REDPP-HANDKERCHIEF COTTON,SINGLE PRICE,PSR,ONE SIZE
MAPOPTW09120082,0,MA,MA,PO,0,PTW,91,PT,PERSONAL TOWEL,HDC,HANDKERCHIEF,N/A,NO SUBCLASS,449,M PRL LIC ACC,NAVY-410,44990722,ACCESSORIES,NULL,0,FAL2022,FAL,2022,YD STRIPE-HANDKERCHIEF COTTON,SINGLE PRICE,PSR,ONE SIZE
MAPOPTW09120084,0,MA,MA,PO,0,PTW,91,PT,PERSONAL TOWEL,HDC,HANDKERCHIEF,N/A,NO SUBCLASS,449,M PRL LIC ACC,GREEN,44990722,ACCESSORIES,NULL,0,FAL2022,FAL,2022,YD CLRBLK-HANDKERCHIEF COTTON,SINGLE PRICE,PSR,ONE SIZE
HMRLBEDHR222492,0,HM,HM,RL,H,BED,R2,BD,BEDDING,CSB,CLASSIFICATION BDDNG,STO,SHEET - OPEN STOCK,602,RL LIC HME,LIGHT BEIGE-270,60290716,HOME,NULL,0,NOS2022,NOS,2022,JPN QN FTD-CLASSIFICATION BDDNG-SHEET - OPEN STOCK BEDFORD JQ611734,SINGLE PRICE,FULLPRICE,QN FITTED
HMRLBEDHR222493,0,HM,HM,RL,H,BED,R2,BD,BEDDING,CSB,CLASSIFICATION BDDNG,DVC,DUVET COVER,602,RL LIC HME,TURQUOISE/AQUA-440,60290714,HOME,NULL,0,SPR2022,SPR,2022,O JPN F/DB DVT-CLASSIFICATION BDDNG-DUVET COVER RUGBY BEAR2801,SINGLE JAPAN,OUTLET,FU/QN DVT
